City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
198,Buritis,BR,2021-07-12 15:38:27,-15.6178,-46.4233,83.91,26,1,5.46
199,Claye-Souilly,FR,2021-07-12 15:38:28,48.9449,2.6857,74.64,72,75,5.75
200,Faya,SA,2021-07-12 15:38:28,18.3851,42.4509,78.91,42,95,4.23
201,Saldanha,ZA,2021-07-12 15:36:00,-33.0117,17.9442,50.05,65,97,24.38
202,Zemio,CF,2021-07-12 15:38:28,5.0314,25.1361,76.44,72,79,2.59
203,Williston,US,2021-07-12 15:37:31,48.147,-103.618,74.19,56,1,5.99
204,Siwana,IN,2021-07-12 15:38:29,25.6333,72.4167,87.28,67,100,5.14
205,Saint George,US,2021-07-12 15:37:02,37.1041,-113.5841,95.47,27,1,4.0
206,Abha,SA,2021-07-12 15:38:29,18.2164,42.5053,78.62,47,75,11.5
207,Drumheller,CA,2021-07-12 15:38:30,51.4617,-112.7101,68.49,77,42,1.14
208,Tiksi,RU,2021-07-12 15:37:16,71.6872,128.8694,39.87,73,61,3.4
209,Maragogi,BR,2021-07-12 15:38:30,-9.0122,-35.2225,79.2,77,2,14.03
210,Caravelas,BR,2021-07-12 15:36:09,-17.7125,-39.2481,78.62,57,1,7.54
211,Ochamchira,GE,2021-07-12 15:38:30,42.7121,41.4721,78.1,79,8,4.74
212,Airai,TL,2021-07-12 15:37:21,-8.9266,125.4092,54.9,53,5,3.78
213,Wismar,DE,2021-07-12 15:38:31,53.9,11.4667,79.48,79,67,11.7
214,Verkhoyansk,RU,2021-07-12 15:38:31,67.5447,133.385,49.3,84,100,2.48
215,Waingapu,ID,2021-07-12 15:38:31,-9.6567,120.2641,73.36,87,6,7.61
216,Susuman,RU,2021-07-12 15:38:32,62.7833,148.1667,53.69,96,100,5.14
217,Honiara,SB,2021-07-12 15:38:32,-9.4333,159.95,76.08,88,72,6.2
218,Srandakan,ID,2021-07-12 15:38:32,-7.9386,110.2506,57.72,89,11,5.01
219,Goderich,CA,2021-07-12 15:38:33,43.7501,-81.7165,76.03,64,100,12.66
220,Nanakuli,US,2021-07-12 15:38:33,21.3906,-158.1547,74.71,91,40,4.61
