City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
385,Natal,BR,84.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
386,Bandarbeyla,SO,80.8,overcast clouds,9.4942,50.8122,JABIR HOTEL
387,Camacha,PT,77.76,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
388,Ambon,ID,77.09,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
392,Pechenizhyn,UA,87.19,scattered clouds,48.5155,24.8942,МАРКО
395,Pushkino,RU,87.21,light rain,56.0172,37.8667,Mini Hotel Pushkino
396,Coahuayana,MX,81.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
397,San Patricio,US,87.66,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
399,Juba,SS,77.72,light rain,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
402,Pointe Michel,DM,85.14,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
410,Lata,PT,86.49,clear sky,40.1629,-8.3327,Casa Maquia
413,Wieliczka,PL,78.69,overcast clouds,49.9874,20.0647,Hotel Górsko
415,Acarau,BR,87.53,few clouds,-2.8856,-40.12,castelo pizzaria
420,Majene,ID,78.66,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
426,Buchanan,LR,80.56,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
429,Lorengau,PG,80.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
430,Padang,ID,80.65,scattered clouds,-0.9492,100.3543,Mercure Padang
431,Sfantu Gheorghe,RO,86.58,broken clouds,45.8667,25.7833,Hotel Park
432,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
433,Alcantara,BR,88.0,few clouds,-2.4089,-44.4147,Pousada da Josefa
434,Eydhafushi,MV,81.81,overcast clouds,5.1033,73.0708,Soneva Fushi
436,Nata,PA,80.47,overcast clouds,8.3333,-80.5167,Cabañas Estancia Bayamon
439,Marquette,US,75.78,clear sky,46.5333,-87.6335,Al Quaal Lodge
441,Finschhafen,PG,78.26,broken clouds,-6.6024,147.8681,Cossam Guest House
442,Colares,PT,77.99,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
443,Kamareddi,IN,79.48,scattered clouds,18.3167,78.35,Osman Residency
444,Rongcheng,CN,75.74,light rain,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
446,Yangjiang,CN,78.94,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
447,Prokhorovka,RU,89.17,scattered clouds,51.0374,36.7325,Prokhorovka Field Hotel Complex
448,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
451,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
